user;lokasi;sentimen;ulasan
sulastri rianti;Bukit Jaddhih;Positif;Di Bukit jaddih panas jd harus pakai sun block ya gaes...
Hadi Parliyandi;Bukit Jaddhih;Positif;Bukit tempat penambangan kapur, ada spot foto yang cuma bagus di foto instagram namun tidak cocok untuk ajak keluarga. Ada Goa Pote dan kolam pemandian dibekas penambangan kapur. Masuk lokasi ini cukup banyak pungli dan tidak sesuai dengan …
Merry Tauho;Bukit Jaddhih;Negatif;Sebenarnya tidak pantas diberi bintang. Tempat wisata seharusnya tertata, tidak ada tumpukan2 sampah. Itu hanya tempat penambangan tanah putih, banyak mobil2 pengeruk tanah dan truk. Parahnya lagi, banyak preman pemungut tiket liar (tiket …
A ang;Bukit Jaddhih;Positif;untuk pengalaman pemandangan yang bagus disarankan datang saat musim panas, atau peralihan ke musim hujan, kira kira bulan juni sampai desember, karena saat itu rumput rumput telah menguning dan pemandangannya pun tidak kalah dengan bukit …
KARYA SEJATI;Bukit Jaddhih;Negatif;Manusia mencari uang ulet spt itu
Reno Dewanta;Bukit Jaddhih;Positif;Sangat potensial tapi masih butuh perawatan dan arena permainan
G_Revitha Febrysanty H_317;Bukit Jaddhih;Positif;"Salah satu wisata alam di Madura yang wajib dikunjungin, tempatnya keren.
Tetapi sayangnya banyak pungli, semoga kedepannya tidak banyak pungli dan lebih aman …"
Widya Permata Sari;Bukit Jaddhih;Negatif;Jalan menuju ke tempat ini kecil banget (cukup 1 mobil aja). Untuk menuju ke lokasi, ada sekitar 3 kali bayar uang masuk (ga lebih dari 20rb sih). …
Alika Family;Bukit Jaddhih;Positif;Bagus buat foto tapi puaanass bgt.
Herna Widiya;Bukit Jaddhih;Positif;"Tempat y bagus
Tp sayang bayar trs?? …"
saiful bahri;Bukit Jaddhih;Positif;Jalur gowes terdekat dari surabaya
Mas Bur;Bukit Jaddhih;Positif;Bagus akan tetapi terlalu banyak pemalak berkarcis
Andri Advan;Bukit Jaddhih;Positif;Bagus alami...cm syng bnyk pungli
Roni Wijaya;Bukit Jaddhih;Positif;"Pos 1 bayar seikhlasnya bilangnya buat buka jalan (koq mirip pungli)
Pos 2 bayar 5ribu per orang (ada tiket)
Pemandangan cukup bagus hanya saja tata kelolanya gak jelas. Ada danau seluas …"
IMRON ROSYADI;Bukit Jaddhih;Positif;masih dalam proses. semoga kalau sudah selesai makin bagus
Syah Roni;Bukit Jaddhih;Negatif;Pengen terkenal kok banyak pungli  begal gak jelas banget,kalo pengen di eksplor tempatnya harus ramah dan jangan melakukan kejahatan.. Pasti destinasinya nanti akam rame, kalo rame kan enak bakal banyal penghasilan dan bertambahnya tenaga kerja jadi tukang parkir dsb
Anjani Saraswati;Bukit Jaddhih;Positif;bagus sih cuman sayang airnya skrg warnanya ijo wkwk beda sama foto2 yg digugel msh biru. terus banyak sampah juga... semoga kedepannya bisa lebih memperhatikan kebersihan baik pengelola dan pengunjung
ig : naungansurya;Bukit Jaddhih;Positif;"Bukit Kapur Jaddih, Wisata di Bangkalan Madura yang Bagus Buat Hunting Foto

Travel Destinations4.9K …"
Kumi Peski;Bukit Jaddhih;Positif;Spot utk foto lumayan bagus , saran yg ingin kesana yg bagus pagi atau sore krn kl siang cuaca panas
Reni Yuniayati Sandra Boiyani;Bukit Jaddhih;Positif;"Lebih baiknya Pergi waktu sore hari /pagi hari ,karena Siang panas bangat Dan berdebu juga ,
Tapi lumayan pemandangannya ,mantap"
hetty2 pratiwi;Bukit Jaddhih;Positif;Mudah ditemukan, pake Google map pasti ketemu tempatnya. Krn kesana sore jd ndak terlalu panas apalagi saat musim kemarau, jd kering ndak ada danaunya. Lumayan bagus tempatnya, apalagi yg suka ndaki. Batu kapurnya lumayan eksotis, apalagi pas matahari mau terbenam, siluet cukup menawan. Hanya sayangnya, jalan kelokasi blm bagus.
M Umar;Bukit Jaddhih;Positif;"Sebenar nya bagus dibuat wisata keluarga atau wisatawan luar kota,, cuman sedikit kurang sentuhan, tata kelola dan pengelolaan,, jd terkesan tidak terurus..
Kayak wisata bukit jeddih perlu studi banding ke stigi yg berada di kawasan …"
Aaron Valentinus;Bukit Jaddhih;Positif;Jalan menuju bukit lumayan tidak rata, dan agak sempit, saat musim panas tidak terlalu rekomend karena panas dan debu tapi di dalem goa lumayan dingin, harga tiket masuk danau goa'pote Rp5.000 perorang, pemandangan nya juga unik instagramable, tapi saat saya datang danaunya sedang agak kering. Mantap bagus
Lutfi EstilLo;Bukit Jaddhih;Positif;Tempat buat rekreasi kluarga yg menawarkan pemandangan dri atas bukit, tapi tiap pindah tepat bayar karena beda wilayah .. …
unromanticromeo;Bukit Jaddhih;Negatif;Lokasi lumanyan jauh dan masuk jalan desan yang kecil tp bisa dilalui 2 mobil. Udara sangat panas dan berdebu karena memang daerah perbukitan dan merupakan penambangan batu kapur yang masih aktif. Saran saya jangan datang / pulang terlalu …
Madichur Rochman;Bukit Jaddhih;Negatif;Wew... Baru masuk jalan kampun Pungli, masuk pos pertama mau nanya tempat parkir ditarik Pungli lagi, masuk portal Pungli lagi. Belom lagi klo pas naek ketempat yg lebih tinggi ketemu pria berkuncir minta duit lagi. …
hary setyawan;Bukit Jaddhih;Negatif;Ini sebenarnya tempat penambangan gunung kapur yg masih aktif. Sama warga du bentuk sedemikian rupa menjadi sebuah obyek wisata. Tiket masuk sangat mahal untuk sebuah tempat seperti ini. Tiket Motor 10rb Mobil 20rb Bus kecil 80rb. Belum …
priyadiVlog doors;Bukit Jaddhih;Positif;suka sesuatu yang beda? langsung merapat kesini kereeen.
Willdan Pramanda Wahyudi AdiSlamet;Bukit Jaddhih;Negatif;Nice Place , sayang banyak pungli
yossinda dp;Bukit Jaddhih;Positif;datang pagi atau sore biar tidak panas
Mazaya Azkya Faradis;Bukit Jaddhih;Positif;Wisata bukit Jaddhih adalah tempat wisata yang unik dan tidak biasa. Dikatakan tidak biasa karena memang bukan merupakan pegunungan pada umumnya. Kita bisa menikmati pemandangan yang luar biasa dati atas gunung gamping yang semakin terlihat …
E Loeminto;Bukit Jaddhih;Negatif;Tidak ada pemandangan hijau selain kapur putih. Terlalu panas dan terik matahari menyengat. Mungkin sorean lebih nyaman. Tidak ada biaya yang di charge untuk masuk ke sini. Saran ku mending kamu ke Bukit Arosbaya
Jairus Robert;Bukit Jaddhih;Positif;Tempat wisata yang cantik berupa danau dan gua batu kapur buatan manusia sisa dari proyek penambangan batu kapur. Perjalanan menuju lokasi cukup ekstrim sehingga butuh skil berkendara yang cukup baik. Tempatnya bagus untuk foto-foto. Harga tiket masuk 20ribu permobil dan 5ribu perorang.
Micky Saputra;Bukit Jaddhih;Positif;Banyak tarikan soob alias pungli... Siapin duit yg banyak. di jalan masuk desa ada tarikan. di pos jalan masuk tambang ada tarikan lagi, di pos masuk ke aprkiran ada tarikan lagi....  tempat udah tidak seindah dan sebersih di foto-foto …
IRUFANO;Bukit Jaddhih;Positif;Tempatnya sangat recomended untuk pesona keindahan tebing kapur dan waduk biru toska
RiznurS;Bukit Jaddhih;Positif;Tempatnya bagus tapi masih perlu perapihan
Helen Samantha;Bukit Jaddhih;Positif;Lumayan lah buat swa foto..tp siapa yg kelola tmpt ini? Kok bnyk pungutan liar? Msk pertama mnt uang, msk kdua mnt uang lg enggak ada karcis nya..nah parkir mbl pun mnt uang lg muka2 preman ga jls klo ga d ks maksa se olah2 mau telan orng tu tampang2 nya.cb kelola dng yg bnr..sedia kn wc
Mohamad Rosul;Bukit Jaddhih;Positif;bukit jaddih seperti halnya padang pasir..hahahah
HAIDAR FADHIL;Bukit Jaddhih;Positif;"Tempat bagus,
Masalahnya ada 3 lapis pungutan karcis.
Yg 1 ada karcis …"
Julie Khriss;Bukit Jaddhih;Positif;KEREN buat foto2
Suliyah Widia;Bukit Jaddhih;Negatif;Karena waktu masuk lokasi bayak preman pertama dah masukin kas desa gk pp kedua pintu masuk di tarik uang 40 rb itu juga gk jelas..di parkiran per orang suruh bayar 5 rb..masuk kawah di tarik uang lg perorang 5 rb..aq sangat gk suka tempat itu sangt kecewa!!!!!!!!
Mazaya Yumna;Bukit Jaddhih;Positif;Unik dan bagus, serba putih gitu karna perbukitan kapur. Udah mulai di mulai berkembang juga pariwisata nya, ada yang lagi dibangun, ada juga yg udah ada fasilitasnya, ada juga yg lagi ditambang kapurnya. Boleh deh buat liburan, mungkin jalan nya aja yg masih belum bagus dan banyak pungli nyaa hehe?
Vera Kuslelyana;Bukit Jaddhih;Negatif;Kurangnya papan petunjuk membuat pengunjung kesasar.
Rani Monikasari;Bukit Jaddhih;Positif;Planning aku prtama kli mnginjak kaki di madura pgn banget ke bukit jaddih dan alhamdulillah terealisasi gaes ??kabar baiknya tempatnya kuueren banget ya meskipun masih dalam proses pmbangunan yg lebih baik. Kayknya di atas danau tuh kyak …
Papa Rasya;Bukit Jaddhih;Positif;Mantap keren sekali view nya dan banyak spot foto Instagramable... Cuman masuk nya bayar lagi kalo yang ada kolam SM goa pote. Di depan pintu masuk bayar 16 ribu kalo ke kolam yg ada d gambar bayar lagi 10 ribu SM parkir 2000. Tapi kalo langsung ke atas bukit gak bayar lagi bisa naik muter lewat jalan yang d laluin truk truk...
Hus Ni;Bukit Jaddhih;Positif;Bukit Jaddih, bebatuan kapur putih yang tersohor karena keindahannya. Destinasi yang menjadi perbincangan di media sosial ini akhirnya menyedot orang-orang berbondong-bondong mengunjunginya. …
Dinda Ayu Imaningrum;Bukit Jaddhih;Negatif;Untuk foto prewedd mahal, tanpa informasi yg jelas.. dikenakan biaya 200k disaat masih ada aktifitas penambangan... mohon pengelolahan diatur dengan benar agar lebih baik kedepannya
Siswanto Jablud;Bukit Jaddhih;Positif;Sebetulnya potensial menjadi obyek wisata yg megah,  tapi saat ini minim pengelolaan dan jalan menuju ke lokasi sangat sempit dan rusak.
Aswin Deli;Bukit Jaddhih;Positif;lokasi proyek bukit kapur yang menjadi tempat wisata.
Khusanah Putri;Bukit Jaddhih;Positif;"tempatnya bagus sih, cuman sayang aja gitu dateng pas musim kemarau jadi bukitnya gak ada air"" bisa dateng pas musim hujan aja biar ada airnya pas bagus. HTMnya udah jadi satu sama parkirnya dan bayar cuman 1x aja 20rbu satu mobil 4 orang. Aman banget dan orangnya ramah"" plus ada bapak tour guide sekaligus kang foto."
Johanna Lianna;Bukit Jaddhih;Positif;Ada guide yg bisa bantuin foto & ngarahin gaya. Bayar seikhlasnya. Oke banget sih
Arzetti Bilbinna N;Bukit Jaddhih;Positif;tempatnya bagus, medannya susah kalau habis hujan (licin)
Budi Artodibyo;Bukit Jaddhih;Positif;"Wisata lokal yang murah meriah.
Tempatnya bagus untuk spot foto / selfi. Sebuah bukit kapur yang telah digali sebagian kapurnya, sisa penggalian itulah yang meninggalkan pemandangan yang unik …"
Yanuar Ferdiansyah;Bukit Jaddhih;Negatif;Terlalu banyak tukang palak.. jalan masuk kampung bayar 10rb (bon), masuk area parkir 10rb (bon), habis foto2, mo pergi, masih dipalak lagi 10rb tanpa kuitansi, trus untuk turun ke goa katanya ada loket masuk 5rb/orang, tp ga jadi, coz sudah ilfil duluan, belum klo ke kolam..
Chris joseph Kavin (Chris JK);Bukit Jaddhih;Positif;Bagus sih top lah
Junus Widya;Bukit Jaddhih;Negatif;"Jalan menuju bukit masih sempit, sangat mepet untuk 2 mobil berpapasan.  Jalan masuk masih berbatu blm aspal.  Di dalam banyak yg minta ""uang parkir"" tdk resmi."
mardiani puji;Bukit Jaddhih;Positif;Bukit Jaddih merupakan bungker bekas peninggalan Belanda. Bungker ini dahulu dijadikan sebagai tempat penyimpanan senjata. Kemudian, Bukit Jaddih menjadi lokasi penambangan kapur. Karena keindahannya, tempat ini kini difungsikan juga …
Reza Pahlevi;Bukit Jaddhih;Positif;Bukit jaddih. Kenapa saya beri bintang 3. Ya tempat ini pada saat saya pertama kali berkunjung masih indah untuk kolam kecilnya. Airnya berwarna hijau kebiruan. Namun sekarang saat saya datang untuk ke 2 kalinya sudah banyak …
Ivan Robin1;Bukit Jaddhih;Positif;Bagus  untuk  off road dan berselfie ria
MoEn88Trans Madiun;Bukit Jaddhih;Negatif;"Wisata yg jauh dari aman & nyaman. Tiket terhitung mahal karna kondisi lokasi bercampur dg proyek tambang aktif dg truk mondar mandir mengangkut batu & sama sekali tak santun petugas jaganya. Berikut minim pengamanan, sarana, prasarana.
Hati - hati jika anda membawa putra putri kecilnya wisata disitu"
Agus Supriadi;Bukit Jaddhih;Positif;Tempat wisata yang wauw, indah dan menakjubkan, bukit kapur yang disulap menjadi tempat wisata yang indah, walaupun masih berproses menuju kesempurnaan. Ada kolam renangnya, ada kios-kios yang menyediakan berbagai kuliner khas Madura, ada …
Anton Budiono;Bukit Jaddhih;Positif;Tempatnya bener bener Keren,  baru dan masih perawan,  Besok besok kesana lagi
Wildanun Nabil;Bukit Jaddhih;Positif;Lokasinya sih bagus, tapi kekurangannya banyak pungli disepanjang jalan menuju lokasi tempat wisata. Sepengalaman saya waktu kesana ada lebih dari 3 orang yg meminta uang sebagai tiket masuk, dengan membawa tiket buatan mereka sendiri. Semoga kedepan lebih ditertibkan lagi.
jenny julianti;Bukit Jaddhih;Negatif;Tempatnya bgs tp sayang byk pungli yg tdk jls
Hasna Maghfira;Bukit Jaddhih;Negatif;haduh parah sih ini, masuk udah 20rb, nanti masuk cuma parkir mau foto diminta 15rb lagi, banyak pungutan liar. sarana prasarana kurang memadai, masih banyak pertambangan jadi agak kurang aman, banyak ulasan juga banyak begal …
DJoko WE;Bukit Jaddhih;Positif;Sebenarnya obyeknya lumayan bagus. Hanya pengelolaanny masih amatir. Tiket masuk tdk jelas.. Waktu sy kesana diminta bayaran di 3 titik yg berbeda.  Saat diminta penjelasan kok bayarnya lebih dari sekali jawabanny tdk memuaskan. Tp kl. …
NKDA;Bukit Jaddhih;Positif;Obyek Batuan kapur agak mirip GWK bali , jangan datang waktu musim hujan, jalan kesana blom bagus. Waktu terbaik untuk mengambil foto adalah saat siang hari. Foto akan cerah maksimal tanpa perlu diedit. Jangan lupa bawa payung. Biar manjah
Paskalis Bangkit;Bukit Jaddhih;Negatif;Gile belum turun dari mobil aja udah ditarikin duit. Pas ditanya ada tiketnya ga ada,udh gt 3 lapis pula punglinya untuk masuk. Total 4x ditembakin pungli. Not rekomended lah
Arif Ardiansyah;Bukit Jaddhih;Negatif;Hati-hati kalo kesini utk yg bawa motor dan tidak datang bergerombol. Karena di area/jalan arah bukit jaddih banyak sekali bandit/begal yg mengincar pengguna motor yg jalan sendirian. Pembegal berkelompok lebih 10 orang bawa clurit semua. …
Dinan Permana Ramadan;Bukit Jaddhih;Positif;Bukit jaddih ini dikelola oleh masyarakat setempat sehingga tiketnya sangat banyak, terdapat beberapa objek wisata dan setiapobjek di kelola oleh orang yang berbeda. Untuk tempatnya cukup bagus dan sangat menarik. Akses untuk menuju tempat …
ari wasesa;Bukit Jaddhih;Negatif;Lokasi wisata yg tidak terkoordinir oleh pemerintah daerah, hingga untuk masuk ke lokasi banyak sekali pungutan pungutan liar yg akhirnya dapat mengurangi kunjungan wisata
Arrapradipta;Bukit Jaddhih;Positif;Tempatnya sudah tidak bagus lagi, jalannya menuju ke lokasi rusak parah karena banyak truk pekerja yg bawa kapur, not recommended deh kalau mau wisata kesana, gak sesuai ekspetasi
Yessy Putri Anissah;Bukit Jaddhih;Positif;"Pemandangannya bagus sampe bengong kok bisa galian tambang kapur seindah ini.
Di sini itu panas banget tapi kadang adem juga, mungkin karena waktu itu kesini cuaca agak mendung. …"
bendox garez;Bukit Jaddhih;Negatif;Masih dalam tahap pengerjaan. Panas .
Randy Wahyu;Bukit Jaddhih;Positif;Bukit Jaddih adalah tempat eksploitasi semacam batuan kapur yang menjadi tempat wisata. Akses tidak terlalu jauh dari Jembatan Suramadu, tempatnya bagus, tiket masuknya murah, dan juga dapat menemukan oleh - oleh khas dari Pulau Madura …
Febri Indra Arianto;Bukit Jaddhih;Positif;Bukit Jaddiih ini merupakan salah satu tempat wisata yang digemari bukan hanya orang madura saja, namun juga orang-orang dari luar pulau jawa. Disana terdapat pemandangan yang indah yang cocok untuk mengabadikan momen bersama keluarga dan …
MasKoeh Channel;Bukit Jaddhih;Positif;Wisata batu kapur dari pulau garam Madura. Serasa di planet lain. Asyik untuk melepas penat.
Raka Yassar;Bukit Jaddhih;Positif;Tarif 20rb/mobil arah menuju goa pote (pungli warga),,  masuk ke danau goa pote parkir 20rb (awalnya minta 30rb malah ??)  .Kalo ke sana jangan siang panas². Masih tahap renov mempercantik pemandangan bukit kapur goa pote …
Dimas Setiaji;Bukit Jaddhih;Positif;Nice place, ga terlalu jauh dari jembatan suramadu
S A M S U D I;Bukit Jaddhih;Positif;Dua kali kesana pertama dengan keluarga yg kedua sama teman di kantor
Thomas Khrisna;Bukit Jaddhih;Positif;Tempat ini lumayan bagus untuk di jadikan sebuah spot Foto - foto atau di gunakan sebagai lokasi pemotretan. namun sayangnya , pengelolaan yang kurang maksimal menjadikan anda harus membayar 2x ketika ingin masuk ke tempat ini, akses yang cukup sulit membuat anda harus lebih hati - hati ketika mengakses tempat ini
aryanto hunowu;Bukit Jaddhih;Positif;"Bukit jeddih adalah salah satu destinasi wisata yang asalnya adalah ex  tambang gunung kapur.
Ada spot yg bisa di manfaatkan untuk foto pra wedding.
Juga di lokasi tersebut dibangun kolam renang untuk segala umur..."
Basuki Wibowo;Bukit Jaddhih;Positif;Bagus,semoga kedepan lebih bagus lagi,
Sepatrex House;Bukit Jaddhih;Positif;Bukit jaddih merupakan tempat penambangan batu bata putih. Dulu disini juga menjadi tempat penyimpanan senjata. Bukit ini berada di desa Jaddih, sehingga penamaannyapun diberi nama bukit jaddih. Sekarang tempat ini menjadi salahsayu …
Siti Mauludiyah;Bukit Jaddhih;Positif;"tempat wisata yang bagus dengan pemandangan tebing kapur. kita bisa mengelilingi tempat wisata dengan menggunakan kendaraan.
sayangnya kita harus membayar setiap memasuki kawasan yang berbeda. …"
ROSE THE ANT TO;Bukit Jaddhih;Positif;Lokasinya bagus, tapi sayang terlalu banyak pungutan.
Muhammad Iqbal;Bukit Jaddhih;Negatif;Tempatnya adalah tambang kapur yg masi aktif. Sangat berbahaya dan minim pengamanan. Terutama banyak warga lokal yg suka meminta pungutan liar di jalan dengan dalih biaya masuk. …
Muh. Isa Asy'ari;Bukit Jaddhih;Positif;Tempat yang cocok buat touring
citra nilam;Bukit Jaddhih;Positif;Tempat yang cocok untuk berlibur bagi warga di Jawa Timur, khususnya Surabaya dan sekitarnya yang ingin menjelajah apiknya Pulau Madura. Tidak jauh dari Jembatan Suramadu. …
Strawberry Lionel;Bukit Jaddhih;Positif;Meskipun cuaca sangat panas, tapi melihat view gunung kapur yg indah buat dijadikan spot foto, rasanya terbayarkan. Sayangnya, pas kesana kmrin danaunya mengering. Jadi gabisa naik perahu. Tapi it's oke still happy?? …
Putra Sampang;Bukit Jaddhih;Positif;Salah satu tempat wisata baru di kawasan Madura bagian barat. Tempat wisata ini merupakan bekas tambang batu kapur, yang dimanfaatkan menjadi objek wisata yang sangat bagus, kesan alami yang ditimbulkan begitu kuat, mengingat tempat ini …
Udin Ardianto Arifin;Bukit Jaddhih;Positif;"Tempat yang indah
Banyak penjual salak di area jalan menuju objek wisata"
ongko wijoyo;Bukit Jaddhih;Positif;Tempatnya indah, sayang jalannya masih harus diperbaiki
Ramadhani Fitria;Bukit Jaddhih;Positif;Bukit kapur yg bagus banget. Apalagi kalo dikelola secara baik. Terletak di kabupaten Bangkalan. Dari jalan raya masuknya sekitar 4 km. Hanya bisa di akses dengan kendaraan pribadi. Pemandangannya bagus karena tempatnya yang tinggi. Ada kolam renang dan tempat bermain. Sebelum masuk ke area banyak terdapat gua-gua alami yang besar.
Mas Bon;Bukit Jaddhih;Negatif;Tempatnya biasa saja,tidak terlalu menarik. Kemarin masuk Goa Pote yang ada di kawasan wisata tersebut per orang bayar Rp. 5000,-,begitu dikasih uang sesuai jumlah orang kok cuma dikasih karcis 1 lembar,begitu ditanyakan katanya sama saja, setelah beberapa lama adu argumen baru deh dikasih karcis sesuai uang yang dibayar.
Haekal Haydn;Bukit Jaddhih;Positif;Bagus sih..  Tapii...  Untuk masuk ada 2 kali penarikan, 10k untuk parkir lalu ditagih lagi untuk keamaan 10k, lalu untuk masuk ke goa ronte (yang ada danau) juga ditarik lagi tapi saya ga tahu berapa karena sudah tidak mood untuk masuk (setelah bayar 2 kali)
Laila Turokhmah;Bukit Jaddhih;Negatif;Lumayan...gk sesuai expetasi..aire kotor.
Salim haris;Bukit Jaddhih;Positif;klo skala 1 smp 10 . ya nilai 7 .lumayan cuma perlu perbaikan khususnya jalan menuju ke sana maupun jalan di tempat wisatanya . tidak ada toilet juga merupakan kekurangannya... smg dikedepannya bagus
muhri mohtar;Bukit Jaddhih;Positif;Tempat yang bagus. Luar biasa bahkan. Sayang tidak dikelola dengan baik. Jalan buruk, banyak pungli, jalur tidak aman hanya sebagian masalah. Selain itu pengelolaan parkir semrawut. Ditambah tidak adanya rambu penunjuk jalan yang baik. Masalah utama spot ini adalah pengelolaan dan keamanan.
Kadek Mustiada;Bukit Jaddhih;Positif;Tempat yg eksostis sedang direncanak sebagai tempat wisata, kondisi jalan ke lokasi masih perlu perhatian pemda.
IGRA Larangan;Bukit Jaddhih;Positif;"Datang dan kunjungi laah bukit jaddih di bangkalan madura.

Menawarkan pemandangan alam yg indah dan romantis, cocok biat wisatawan lokal …"
Sri Setyorini;Bukit Jaddhih;Positif;Sudah ga seindah dulu. Tapi boleh lah kalau mau sekedar foto dengan latar bukit kapur.
paul liant;Bukit Jaddhih;Negatif;Tempat wisata baru di pulau madura. Menawarkan tebing gunung batu bekas penambangan. Lokasinya 1 jam dari Suramadu. Bisa mampir jika ingin menuju Kota Bangkalan. Tp hati2 jalan cukup sempit dan sepi, apalagi sore atau malam. Siapkan uang receh krn banyak pungli
Andi Tajudin;Bukit Jaddhih;Positif;Ngeri banyak pungli.....heran aku apakah stigma negatif ttg area pulau ini bisa hilang?.....terlalu banya orang yg aji mumpung dan tak sungkan2 minta duit...ngga malu pungli....kek mau nolong arahin ujung2nya ya minta duit....padahal kalau dikelola profesional cukup bagus...
Renanda Rahmawan;Bukit Jaddhih;Positif;tempatnya ok. kesini gowes bareng temen, harga masuk orang dan sepeda klo g salah 5000 rupiah. nothing special.. bekas galian kapur yg di jadikan tempat wisata hehe. jalur menuju sini jg ga terlalu sulit dan ga terlalu jauh dari Suramadu …
Linda Anggraini;Bukit Jaddhih;Positif;Tempat wisata sederhana dan murah meriah. Terdapat kolam renang untuk anak. Danaunya bagus untuk dijadikan spot foto. Persiapkan payung/topi dan sejenisnya untuk perlindungan dari panas matahari ketika akan berkunjung pada siang hari.
Ruzdy syarief;Bukit Jaddhih;Positif;Di sarankan untuk datang di pagi atau sore hari. Kalau pass siang hari panasnya kebangetan
Debie Wijaya;Bukit Jaddhih;Positif;Daerah perbukitan kapur dengan aktivitas penggalian/pomotongan untuk membuat bahan bangunan/batu bata, gamping dan kapur dinding. Kontur bukit bekas aktivitas tsb indah, instagramable. Bila cuaca  panas maka agak berdebu, perlu masker dan sun glasses.
Luluk Husnul Khotimah;Bukit Jaddhih;Positif;Unt yg suka fto2 tempat ini wajib unt dikunjungi
Wiwin Wijayanti;Bukit Jaddhih;Positif;Tempat yng indah..tpi sayangny penuh dengan debu
Ricky Ardianza;Bukit Jaddhih;Positif;"Barusan kesana . Pas baru masuk lewat sawah sawah udah di suruh bayar 5k terus masuk ke bukitnya 5k ntar kalo mau naik bayar lagi 5k .. tp saya ga naik jadi total 10k permotor .. saran saya pake jaket,kacamata,payung,sepatu soalnya tempat tambang psti panas ..
Tapi bagus kok .."
syiroy uddin;Bukit Jaddhih;Positif;Tempat yang bagus untuk sebuah destinasi wisata baru yang sedang berkembang walaupun akses untuk tempatnya sangat sangat perlu untuk diperbaiki. Dan semoga terus untuk selalu ditambah untuk tempat - tempat fotonya dan fasilitas-fasilitas …
hadhytana tono;Bukit Jaddhih;Negatif;Bukit Jaddhih di Tahun 2020 memprihatinkan, kondisi lingkungan wisatanya masih belum terkondisikan dengan baik, beberapa batu gamping retak-retak sehingga menghawatirkan  wisatawan yang berkunjung, harapan kami semoga ada perhatian.
arrumanta ekna;Bukit Jaddhih;Positif;bagus, ada beberapa spit foto, namun cuaca biasanya terik dan tempat jauh dari parkiran mobil, butuh banyak jalan
Herman Susanto;Bukit Jaddhih;Positif;Sya n kluarga liburan kesini..  Indah juga.   Suatu saat saya akan ksini lagi..  Insyallah.. Madura. Is the best
anggun pribadi;Bukit Jaddhih;Negatif;Banyak tarikannya beda beda jd males..
rusdi zulkarnain;Bukit Jaddhih;Positif;Bukit Jadih adalah lokasi penambangan batu kapur di Desa Jadih Kecamatan Socah Kabupaten Bangkalan Pulau Madura. …
satya arum attamimi;Bukit Jaddhih;Positif;Cocok buat liburan
Ihnal ef Muhtar;Bukit Jaddhih;Negatif;Kalau mau ke lokasi harus siap menghadapi kepul serpihan dari batu kapurnya. Tidak dianjurkan pakai mobil sedan. Harga tiket 23 September 2018:  1 mobil 20000 rupiah, perorang 5000 rupiah.
Anne Afiat;Bukit Jaddhih;Positif;Bagus buat foto2 tapi panasnya minta ampyuuun..
Koco Jatmiko;Bukit Jaddhih;Positif;Bekas tambang batu kapur yg dijadikan obyek wisata eksotik
muhammad miftahul ulum;Bukit Jaddhih;Positif;Mantan si ininbagus buat foto²
Nedi Fadly;Bukit Jaddhih;Positif;Semoga dgn banyaknya yg berkomentar menjadikan wisata madura menjadi lbh baik serta penduduk lokalnya bertambah ramah tamah, *I LIKE MADURA*
Putut Sugiharto;Bukit Jaddhih;Positif;"Pemandangan exotik
Asri n indah.cuman harus dikelola oleh satu instansi atau swasta yang berpengalaman. Supaya tidak semrawut. Terutama mengenai jalur masuk nya, retribusi nya."
Wahyu Erland;Bukit Jaddhih;Positif;Tenpat rekreasi yg sungguh serasa berada di negeri antah berantah ... sp amazing bukit kapurnya... juga tempat ug baik utk foto2 jg berenang.. dr jembatan suramadu (yg sekarang gratis) relative dekat banget dengan surabaya. So tunggu apa lagi mas bro ...
hamid hasim;Bukit Jaddhih;Positif;Berpetualang di alam raya bukanlah perjalanan biasa bagi manusia, bila dianoligikan ke dalam perjalanan hidup seseorang, sebuah petualangan akan memberikan pesan nyata, baik itu tentang perjuangan, pengorbanan atau tentang hakikat manusia …
Mamalia Lia;Bukit Jaddhih;Positif;Tempat bagus dan indah, tp hawa nya panas kalau siang hari, kita hrs siap topi dan payung..
wahyu prasetya;Bukit Jaddhih;Positif;masyallah allahu akbar bagus sekali sedikit panas tidak apa ada tempat penyewaan payung kok, jangan lupa ya pakai baju yg tipis aja karena cuaca d situ lumayan panas
Nency Pelisay;Bukit Jaddhih;Negatif;Pas sampai destinasi yg dituju danau birunya lagi kering jd cuma foto2 di antara batuan kapur deh.. Byk pungli, blm di kelola dgn baik.Sepanjang masuk madura kanan kiri byk bgt makam.hihii plus kurang cocok sm cuaca panasnya madura?? …
DIRGA PRAYA;Bukit Jaddhih;Positif;"Sebetulnya ini tempat pertambangan AKTIF. jadi cukup berbahaya bisa runtuh sewaktu"". Belum ada fasilitas dasar untuk tempat wisata seperti toilet, dll. …"
mas Wid;Bukit Jaddhih;Negatif;masuk lokasi bayar 3 x ?? …
Yoga Pramono;Bukit Jaddhih;Positif;"Pemandangan nya bagus sekali.  Namun waspada akan ada permintaan untuk bayar tiket ""sukarela"". Berikan secukupnya saja.  Karena untuk kedua kalinya akan ada tiket resmi. Tidak mahal dan sangat layak untuk pemandangan yang akan didapatkan."
